State,civ-non-instit-pop,civ-lab-force-num,Civilian labor force Percent of population,civ-lab-force-emp-num,Civilian labor force Employment Percent of population,civ-lab-force-unemp-num,civ-lab-force-unemp-rate,year,Gender,Race,Age
Alabama,3401.0,2154.0,63.3,2055.0,60.4,99,4.6,2000,Total,Total,Total
Alabama,1589.0,1124.0,70.7,1074.0,67.6,50,4.5,2000,Men,Total,Total
Alabama,1812.0,1030.0,56.9,981.0,54.1,49,4.8,2000,Women,Total,Total
Alabama,2482.0,1585.0,63.8,1532.0,61.7,53,3.3,2000,Total,White,Total
Alabama,1179.0,859.0,72.8,834.0,70.7,25,2.9,2000,Total,White,Total
Alabama,1303.0,726.0,55.7,698.0,53.6,28,3.8,2000,Total,White,Total
Alabama,890.0,551.0,61.8,505.0,56.7,46,8.3,2000,Total,Black,Total
Alabama,398.0,257.0,64.7,232.0,58.4,25,9.6,2000,Total,Black,Total
Alabama,493.0,293.0,59.6,273.0,55.3,21,7.1,2000,Total,Black,Total
Alabama,281.0,125.0,44.4,101.0,36.1,23,18.6,2000,Total,Total,16-19
Alabama,307.0,235.0,76.7,213.0,69.6,22,9.3,2000,Total,Total,20-24
Alabama,589.0,491.0,83.4,472.0,80.2,19,3.8,2000,Total,Total,25-34
Alabama,703.0,580.0,82.5,561.0,79.9,19,3.2,2000,Total,Total,35-44
Alabama,575.0,453.0,78.7,441.0,76.6,12,2.7,2000,Total,Total,45-54
Alabama,410.0,219.0,53.4,215.0,52.4,4,1.9,2000,Total,Total,55-64
Alabama,536.0,52.0,9.6,52.0,9.6,( 2 ),0.4,2000,Total,Total,Total
Alabama,132.0,62.0,46.9,48.0,36.0,14,23.1,2000,Men,Total,16-19
Alabama,148.0,121.0,81.3,109.0,73.7,11,9.3,2000,Men,Total,20-24
Alabama,284.0,255.0,89.8,248.0,87.1,8,3,2000,Men,Total,25-34
Alabama,325.0,291.0,89.5,282.0,86.9,8,2.9,2000,Men,Total,35-44
Alabama,289.0,249.0,86.3,243.0,84.0,7,2.7,2000,Men,Total,45-54
Alabama,192.0,118.0,61.3,116.0,60.4,2,1.5,2000,Men,Total,55-64
Alabama,149.0,63.0,42.1,54.0,36.2,9,14.1,2000,Women,Total,16-19
Alabama,158.0,114.0,72.3,104.0,65.7,11,9.2,2000,Women,Total,20-24
Alabama,305.0,236.0,77.4,224.0,73.7,11,4.8,2000,Women,Total,25-34
Alabama,378.0,289.0,76.5,279.0,73.8,10,3.5,2000,Women,Total,35-44
Alabama,286.0,204.0,71.1,198.0,69.2,6,2.8,2000,Women,Total,45-54
Alabama,219.0,102.0,46.5,99.0,45.4,2,2.3,2000,Women,Total,55-64
Alabama,183.0,93.0,51.0,79.0,43.4,14,15,2000,Total,White,16-19
Alabama,190.0,145.0,76.4,137.0,72.4,8,5.2,2000,Total,White,20-24
Alabama,413.0,346.0,83.9,336.0,81.4,10,3,2000,Total,White,25-34
Alabama,501.0,419.0,83.6,410.0,81.8,9,2.1,2000,Total,White,35-44
Alabama,435.0,359.0,82.7,351.0,80.7,9,2.4,2000,Total,White,45-54
Alabama,326.0,179.0,55.0,176.0,54.0,3,1.8,2000,Total,White,55-64
Alabama,111.0,86.0,77.9,72.0,65.1,14,16.4,2000,Total,Black,20-24
Alabama,168.0,140.0,83.3,131.0,78.2,9,6.1,2000,Total,Black,25-34
Alabama,197.0,157.0,79.8,147.0,74.7,10,6.4,2000,Total,Black,35-44
Alabama,139.0,93.0,66.7,89.0,64.0,4,4,2000,Total,Black,45-54
Alaska,438.0,322.0,73.5,301.0,68.6,21,6.6,2000,Total,Total,Total
Alaska,217.0,172.0,79.3,160.0,73.6,12,7.2,2000,Men,Total,Total
Alaska,221.0,150.0,67.8,141.0,63.7,9,6,2000,Women,Total,Total
