State,year,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
United States,1991,160876.0,5875406,2.738125671655712
Alabama,1991,1511.0,76043,1.987033652012677
Alaska,1991,146.0,22283,0.6552080061033074
Arizona,1991,1399.0,73358,1.907085798413261
Arkansas,1991,198.0,41572,0.4762821129606466
California,1991,28346.0,790046,3.587892350571992
Colorado,1991,,79766,
Connecticut,1991,1917.0,101475,1.8891352549889135
Delaware,1991,,21746,
District of Columbia,1991,1737.0,41430,4.192614047791456
Florida,1991,3700.0,267669,1.3823042638482603
Georgia,1991,1479.0,147760,1.0009474824038982
Hawaii,1991,145.0,34357,0.42203917687807435
Idaho,1991,,18852,
Illinois,1991,6413.0,288474,2.223077296394129
Indiana,1991,2347.0,114637,2.0473320132243518
Iowa,1991,777.0,57944,1.3409498826453128
Kansas,1991,,53981,
Kentucky,1991,317.0,71679,0.4422494733464474
Louisiana,1991,453.0,96043,0.47166373395250044
Maine,1991,,23379,
Maryland,1991,5736.0,115428,4.969331531344215
Massachusetts,1991,8565.0,160728,5.328878602359265
Michigan,1991,8851.0,197717,4.476600393491708
Minnesota,1991,2228.0,106103,2.099846375691545
Mississippi,1991,302.0,40862,0.7390729773383584
Missouri,1991,,109162,
Montana,1991,,13875,
Nebraska,1991,211.0,35613,0.5924802740572264
Nevada,1991,261.0,32786,0.7960714939303362
New Hampshire,1991,,24763,
New Jersey,1991,8778.0,221915,3.9555685735529367
New Mexico,1991,2589.0,30295,8.545964680640369
New York,1991,10315.0,497336,2.074050541283961
North Carolina,1991,1965.0,146368,1.342506558810669
North Dakota,1991,,11691,
Ohio,1991,5975.0,233975,2.5536916337215514
Oklahoma,1991,604.0,59632,1.0128789911456935
Oregon,1991,600.0,59441,1.009404283238842
Pennsylvania,1991,7621.0,255163,2.986718293796514
Rhode Island,1991,485.0,21738,2.2311160180329375
South Carolina,1991,594.0,68000,0.8735294117647058
South Dakota,1991,32.0,13736,0.23296447291788003
Tennessee,1991,1142.0,101208,1.1283692988696545
Texas,1991,6635.0,393574,1.6858329056289287
Utah,1991,664.0,33501,1.9820303871526224
Vermont,1991,,11733,
Virginia,1991,2776.0,151093,1.8372790268245385
Washington,1991,3890.0,125895,3.089876484371897
West Virginia,1991,,29092,
Wisconsin,1991,1573.0,104774,1.5013266650123123
Wyoming,1991,41.0,12977,0.31594359250982507
Puerto Rico,1991,,32741,
United States,1993,165730.0,6505140,2.5476776825710132
Alabama,1993,1968.0,84563,2.327258966687558
Alaska,1993,129.0,23284,0.5540285174368665
Arizona,1993,1607.0,89300,1.799552071668533
Arkansas,1993,301.0,47566,0.6328049447084052
California,1993,33721.0,826447,4.080237450193418
Colorado,1993,2864.0,95659,2.993968157726926
Connecticut,1993,2809.0,107680,2.6086552748885588
Delaware,1993,1249.0,23509,5.312858905100174
District of Columbia,1993,2543.0,45356,5.606755445806509
Florida,1993,3525.0,304403,1.15800435606745
Georgia,1993,1577.0,171659,0.9186818052068345
Hawaii,1993,380.0,36732,1.034520309267124
Idaho,1993,478.0,23100,2.069264069264069
Illinois,1993,6777.0,320079,2.117289794082086
Indiana,1993,2560.0,132108,1.937808459745057
Iowa,1993,902.0,63386,1.423027166882277
Kansas,1993,464.0,58953,0.787067664071379
Kentucky,1993,429.0,81618,0.5256193486730868
Louisiana,1993,470.0,95866,0.49026766528279053
Maine,1993,114.0,25202,0.4523450519800016
Maryland,1993,7530.0,125515,5.999282954228578
Massachusetts,1993,9498.0,173527,5.473499801183677
Michigan,1993,10778.0,226368,4.761273678258411
Minnesota,1993,2922.0,117947,2.477383909722163
Mississippi,1993,324.0,47340,0.6844106463878328
Missouri,1993,1789.0,118906,1.5045498124568988
Montana,1993,90.0,16054,0.5606079481749097
Nebraska,1993,295.0,39353,0.7496251874062968
Nevada,1993,219.0,40039,0.5469667074602262
New Hampshire,1993,439.0,27362,1.6044148819530737
New Jersey,1993,9181.0,240389,3.8192263373116075
