State,year,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers
United States,2005,1079655,5319585,20.295850146205012
Alabama,2005,4655,61985,7.5098814229249005
Alaska,2005,1110,12375,8.969696969696969
Arizona,2005,15565,101355,15.356913817769227
Arkansas,2005,2160,24710,8.741400242816672
California,2005,275540,735680,37.45378425402349
Colorado,2005,16010,134665,11.888760999517322
Connecticut,2005,17580,81905,21.463891093339846
Delaware,2005,4275,17845,23.956290277388625
District of Columbia,2005,4670,19515,23.93031001793492
Florida,2005,50120,236600,21.18343195266272
Georgia,2005,28090,154175,18.21955569969191
Hawaii,2005,2290,17415,13.149583692219352
Idaho,2005,1885,24060,7.8345802161263505
Illinois,2005,51260,208790,24.550984242540352
Indiana,2005,8405,87365,9.62055743146569
Iowa,2005,2440,41550,5.872442839951865
Kansas,2005,4775,48590,9.827124922823627
Kentucky,2005,4115,42645,9.649431351858366
Louisiana,2005,3315,47260,7.014388489208632
Maine,2005,850,17455,4.8696648524778
Maryland,2005,39125,195685,19.993867695531083
Massachusetts,2005,51555,189160,27.254705011630364
Michigan,2005,33890,195255,17.35678983892858
Minnesota,2005,14790,119600,12.366220735785953
Mississippi,2005,1610,22360,7.20035778175313
Missouri,2005,7965,85890,9.27348934683898
Montana,2005,595,13190,4.510993176648976
Nebraska,2005,2470,25895,9.538520949990344
Nevada,2005,3650,24535,14.876706745465661
New Hampshire,2005,4730,35430,13.350268134349422
New Jersey,2005,75730,198135,38.221414692002924
New Mexico,2005,3550,34725,10.223182145428366
New York,2005,76575,286385,26.738481414878574
North Carolina,2005,15840,141090,11.226876461832873
North Dakota,2005,205,7990,2.5657071339173965
Ohio,2005,21960,184960,11.872837370242214
Oklahoma,2005,3435,40060,8.574638042935597
Oregon,2005,11735,70190,16.71890582704089
Pennsylvania,2005,26315,206035,12.77210182735943
Rhode Island,2005,3130,22565,13.871039220031022
South Carolina,2005,3555,52285,6.799273214114947
South Dakota,2005,445,7305,6.091718001368926
Tennessee,2005,7255,67810,10.699011945140835
Texas,2005,80600,391900,20.56647103853024
Utah,2005,3065,42885,7.14702110294975
Vermont,2005,1280,12040,10.631229235880399
Virginia,2005,43185,225440,19.15587295954578
Washington,2005,30925,162415,19.04072899670597
West Virginia,2005,670,15865,4.223132682004413
Wisconsin,2005,8450,95440,8.853730092204525
Wyoming,2005,190,6360,2.9874213836477987
Puerto Rico,2005,2070,24765,8.358570563294974
United States,2006,1122710,5473875,20.510333173483136
Alabama,2006,5170,67000,7.716417910447761
Alaska,2006,1060,13090,8.097784568372804
Arizona,2006,16015,107720,14.867248421834386
Arkansas,2006,1380,25450,5.422396856581532
California,2006,291755,770995,37.841360838915946
Colorado,2006,14330,130130,11.012064858218706
Connecticut,2006,18290,80465,22.73037966817871
Delaware,2006,3305,17795,18.5726327620118
District of Columbia,2006,4030,25035,16.09746355102856
Florida,2006,47100,230635,20.421878726125698
Georgia,2006,27105,155135,17.47187933090534
Hawaii,2006,3665,21100,17.369668246445496
Idaho,2006,1320,24070,5.4840049854590776
Illinois,2006,50155,227480,22.048092139968347
Indiana,2006,10525,95375,11.035386631716907
Iowa,2006,3430,44020,7.791912766924125
Kansas,2006,6315,47325,13.34389857369255
Kentucky,2006,4120,41670,9.887209023278137
Louisiana,2006,3500,42180,8.297771455666192
Maine,2006,1195,20745,5.760424198602073
Maryland,2006,46000,209625,21.943947525342875
Massachusetts,2006,52055,194170,26.80898182005459
Michigan,2006,33575,200125,16.777014366021238
Minnesota,2006,14900,117585,12.671684313475359
Mississippi,2006,1420,24975,5.685685685685685
Missouri,2006,8725,85700,10.180863477246207
Montana,2006,300,13530,2.2172949002217295
Nebraska,2006,3260,27560,11.828737300435414
Nevada,2006,3670,30865,11.890490847237972
New Hampshire,2006,5365,35900,14.944289693593316
New Jersey,2006,79420,199365,39.83648082662453
New Mexico,2006,3715,38830,9.56734483646665
New York,2006,80035,285495,28.033765915340027
North Carolina,2006,17025,137430,12.388124863566908
North Dakota,2006,440,9205,4.780010863661054
Ohio,2006,20935,184895,11.322642580924308
Oklahoma,2006,4160,43995,9.455619956813274
Oregon,2006,10905,70405,15.488956750230805
Pennsylvania,2006,31490,214325,14.692639682724835
Rhode Island,2006,2520,18710,13.468733297701762
South Carolina,2006,4105,55815,7.354653766908537
South Dakota,2006,650,9200,7.065217391304348
Tennessee,2006,6000,72085,8.323506970937087
Texas,2006,84915,388135,21.877697192986975
Utah,2006,3790,48830,7.761621953716976
Vermont,2006,770,13305,5.787298008267569
Virginia,2006,43480,243840,17.831364829396325
Washington,2006,34575,170255,20.307773633667146
West Virginia,2006,1030,15110,6.816677696889477
Wisconsin,2006,7465,96005,7.7756366855892916
Wyoming,2006,175,6495,2.6943802925327174
Puerto Rico,2006,2075,24695,8.402510629682123
United States,2007,1119060,5570035,20.09071756281603
Alabama,2007,3745,64005,5.851105382392001
Alaska,2007,510,13240,3.8519637462235647
Arizona,2007,17945,106705,16.817393749121408
Arkansas,2007,1645,25675,6.407010710808179
California,2007,285045,773975,36.828708937627184
Colorado,2007,14755,138135,10.681579614145582
Connecticut,2007,16990,81025,20.968836778771983
Delaware,2007,3880,16230,23.90634627233518
District of Columbia,2007,2840,20035,14.175193411529824
Florida,2007,46815,236670,19.780707313981495
Georgia,2007,24690,153035,16.133564217335902
Hawaii,2007,2810,21145,13.289193662804447
Idaho,2007,1645,24560,6.697882736156352
Illinois,2007,52000,233415,22.27791701475912
Indiana,2007,8795,90950,9.670148433205057
Iowa,2007,3420,43845,7.800205268559698
Kansas,2007,4735,46335,10.219056868457969
Kentucky,2007,4035,43360,9.305811808118081
Louisiana,2007,3510,42790,8.202851133442394
Maine,2007,1730,19505,8.869520635734427
Maryland,2007,43780,205670,21.286526960665142
Massachusetts,2007,48110,195355,24.626961173248702
Michigan,2007,35355,199000,17.766331658291456
Minnesota,2007,17250,118755,14.525704180876595
Mississippi,2007,1055,24930,4.231849177697553
Missouri,2007,8630,84625,10.197932053175776
Montana,2007,315,11440,2.7534965034965038
Nebraska,2007,2965,27560,10.75834542815675
Nevada,2007,3160,23620,13.378492802709568
New Hampshire,2007,4915,38180,12.873232058669458
New Jersey,2007,80925,210910,38.36944668341947
New Mexico,2007,3425,36075,9.494109494109495
New York,2007,80385,297210,27.046532754617946
North Carolina,2007,18735,147775,12.678057858230417
North Dakota,2007,350,10060,3.4791252485089466
Ohio,2007,22310,195415,11.416728500882737
Oklahoma,2007,4405,46170,9.540827377084687
Oregon,2007,10755,68335,15.738640520962905
Pennsylvania,2007,32570,221055,14.73388975594309
Rhode Island,2007,3105,18935,16.398204383416953
South Carolina,2007,5500,56755,9.690776143071094
South Dakota,2007,490,10360,4.72972972972973
Tennessee,2007,7545,71595,10.538445422166353
Texas,2007,85750,416640,20.581317204301076
Utah,2007,4580,50495,9.070204970789188
Vermont,2007,850,11855,7.169970476592155
Virginia,2007,45090,248280,18.160947317544707
Washington,2007,32890,179230,18.35072253528985
West Virginia,2007,1150,16185,7.105344454742045
Wisconsin,2007,9455,99000,9.55050505050505
Wyoming,2007,330,7680,4.296875
Puerto Rico,2007,1390,26250,5.295238095238095
United States,2008,1192410,5803200,20.547456575682382
Alabama,2008,4020,65910,6.099226217569413
Alaska,2008,1065,16615,6.409870598856456
Arizona,2008,17265,110645,15.603958606353654
