State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
United States,2003,101366433.0,4961540.0,20430.43752544573,87604.0,4961540.0,17.65661468011948,,,,291365.0,11532329.0,2.5265061376587505
Alabama,2003,3211827.0,56380.0,56967.48847108904,407.0,56380.0,7.218871940404399,,,,2543.0,134153.0,1.8955968185579155
Alaska,2003,399401.0,10600.0,37679.33962264151,38.0,10600.0,3.5849056603773586,,,,321.0,32038.0,1.0019352019476873
Arizona,2003,2385404.0,92120.0,25894.52887537994,1563.0,92120.0,16.96699956578376,,,,3578.0,193635.0,1.8478064399514555
Arkansas,2003,145361.0,21340.0,6811.668228678538,158.0,21340.0,7.4039362699156515,,,,509.0,78695.0,0.6468009403392846
California,2003,20169641.0,676180.0,29828.804460350795,19675.0,676180.0,29.097281788872785,,,,59664.0,1497919.0,3.983125923364348
Colorado,2003,1735047.0,124140.0,13976.53455775737,2059.0,124140.0,16.586112453681327,,,,5012.0,196127.0,2.5554870058686463
Connecticut,2003,2067969.0,81380.0,25411.2681248464,1658.0,81380.0,20.37355615630376,,,,6548.0,178702.0,3.6642007364215288
Delaware,2003,95399.0,17370.0,5492.17040875072,349.0,17370.0,20.09211283822683,,,,1414.0,47686.0,2.9652308853751626
District of Columbia,2003,2985543.0,54890.0,54391.38276553106,54.0,54890.0,0.9837857533248314,,,,2686.0,73957.0,3.631840123314899
Florida,2003,2854088.0,221070.0,12910.33609264034,2517.0,221070.0,11.385533993757631,,,,5172.0,590483.0,0.8758931247808996
Georgia,2003,2133046.0,144170.0,14795.352708607894,1337.0,144170.0,9.27377401678574,,,,3923.0,342576.0,1.1451473541637476
Hawaii,2003,413945.0,16090.0,25726.84897451833,73.0,16090.0,4.536979490366687,,,,438.0,48166.0,0.9093551467840384
Idaho,2003,217820.0,22150.0,9833.860045146726,1800.0,22150.0,81.26410835214446,,,,1209.0,40491.0,2.9858487071201005
Illinois,2003,1934661.0,211230.0,9159.02570657577,3284.0,211230.0,15.54703403872556,,,,11045.0,533023.0,2.07214322834099
Indiana,2003,573693.0,78410.0,7316.579517918633,1386.0,78410.0,17.676316796326997,,,,4487.0,225443.0,1.990303535705256
Iowa,2003,499484.0,37320.0,13383.815648445874,652.0,37320.0,17.470525187566988,,,,1451.0,105123.0,1.3802878532766378
Kansas,2003,268669.0,51970.0,5169.694054262075,423.0,51970.0,8.13931114104291,,,,2024.0,95360.0,2.12248322147651
Kentucky,2003,246664.0,45230.0,5453.5485297369005,434.0,45230.0,9.595401282334734,,,,1014.0,127982.0,0.7922989170352082
Louisiana,2003,453420.0,41900.0,10821.479713603818,396.0,41900.0,9.45107398568019,,,,954.0,155092.0,0.615118768214995
Maine,2003,166733.0,15020.0,11100.732356857525,149.0,15020.0,9.92010652463382,,,,372.0,42315.0,0.8791208791208791
Maryland,2003,8027300.0,149250.0,53784.25460636516,1436.0,149250.0,9.6214405360134,,,,10162.0,228959.0,4.438349224096891
Massachusetts,2003,5491660.0,184690.0,29734.473983431693,3912.0,184690.0,21.18143916833613,,,,15638.0,311189.0,5.025241894797053
