State,year,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e
United States,2003,87604,4961540.0,17.65661468011948
Alabama,2003,407,56380.0,7.218871940404399
Alaska,2003,38,10600.0,3.5849056603773586
Arizona,2003,1563,92120.0,16.96699956578376
Arkansas,2003,158,21340.0,7.4039362699156515
California,2003,19675,676180.0,29.097281788872785
Colorado,2003,2059,124140.0,16.586112453681327
Connecticut,2003,1658,81380.0,20.37355615630376
Delaware,2003,349,17370.0,20.09211283822683
District of Columbia,2003,54,54890.0,0.9837857533248314
Florida,2003,2517,221070.0,11.385533993757633
Georgia,2003,1337,144170.0,9.27377401678574
Hawaii,2003,73,16090.0,4.536979490366687
Idaho,2003,1800,22150.0,81.26410835214446
Illinois,2003,3284,211230.0,15.54703403872556
Indiana,2003,1386,78410.0,17.676316796326997
Iowa,2003,652,37320.0,17.470525187566988
Kansas,2003,423,51970.0,8.13931114104291
Kentucky,2003,434,45230.0,9.595401282334734
Louisiana,2003,396,41900.0,9.45107398568019
Maine,2003,149,15020.0,9.920106524633821
Maryland,2003,1436,149250.0,9.6214405360134
Massachusetts,2003,3912,184690.0,21.18143916833613
Michigan,2003,3881,182940.0,21.21460588170985
Minnesota,2003,2938,117120.0,25.085382513661205
Mississippi,2003,155,22190.0,6.985128436232538
Missouri,2003,842,84150.0,10.005941770647652
Montana,2003,122,11450.0,10.655021834061134
Nebraska,2003,181,30710.0,5.893845652881797
Nevada,2003,382,22330.0,17.107030900134347
New Hampshire,2003,672,23430.0,28.681177976952625
New Jersey,2003,3469,161420.0,21.490521620617024
New Mexico,2003,381,33600.0,11.339285714285715
New York,2003,6214,272440.0,22.80869182205256
North Carolina,2003,1865,132440.0,14.081848384173966
North Dakota,2003,58,8430.0,6.880189798339265
Ohio,2003,3161,177100.0,17.84867306606437
Oklahoma,2003,518,44360.0,11.677186654643823
Oregon,2003,1677,61230.0,27.388535031847134
Pennsylvania,2003,3188,185560.0,17.180426816124164
Rhode Island,2003,278,18740.0,14.834578441835646
South Carolina,2003,577,48740.0,11.838325810422651
South Dakota,2003,81,9150.0,8.852459016393443
Tennessee,2003,803,63680.0,12.609924623115578
Texas,2003,5957,365270.0,16.308484135023406
Utah,2003,640,45570.0,14.044327408382708
Vermont,2003,440,11420.0,38.52889667250438
Virginia,2003,1108,209280.0,5.2943425076452595
Washington,2003,2263,150230.0,15.063569193902683
West Virginia,2003,137,16220.0,8.446362515413071
Wisconsin,2003,1761,93320.0,18.87055293613373
Wyoming,2003,68,6130.0,11.092985318107667
Puerto Rico,2003,27,19940.0,1.354062186559679
United States,2004,83971,5174260.0,16.228600804752755
Alabama,2004,372,59880.0,6.212424849699398
Alaska,2004,43,10870.0,3.955841766329347
Arizona,2004,1590,98400.0,16.158536585365855
Arkansas,2004,138,24170.0,5.709557302441042
California,2004,19468,703250.0,27.68290081763242
Colorado,2004,2069,125510.0,16.48474225161342
Connecticut,2004,1548,83840.0,18.463740458015266
Delaware,2004,355,18420.0,19.27252985884908
District of Columbia,2004,74,61460.0,1.2040351448096325
Florida,2004,2412,235170.0,10.256410256410257
Georgia,2004,1327,139230.0,9.530991883933062
Hawaii,2004,79,17630.0,4.480998298355077
Idaho,2004,1794,23050.0,77.83080260303687
Illinois,2004,3143,219040.0,14.348977355734112
Indiana,2004,1283,80950.0,15.849289684990733
Iowa,2004,641,40060.0,16.000998502246627
Kansas,2004,437,52650.0,8.300094966761634
Kentucky,2004,414,43740.0,9.465020576131687
Louisiana,2004,357,42520.0,8.396048918156161
Maine,2004,136,14980.0,9.078771695594124
Maryland,2004,1329,158350.0,8.392800757814967
Massachusetts,2004,3669,190960.0,19.2134478424801
Michigan,2004,3738,188580.0,19.821826280623608
Minnesota,2004,2725,118590.0,22.978328695505525
Mississippi,2004,134,22970.0,5.833696125380931
Missouri,2004,769,91820.0,8.37508168155086
Montana,2004,120,11640.0,10.309278350515465
Nebraska,2004,192,31760.0,6.045340050377834
Nevada,2004,413,24440.0,16.898527004909983
New Hampshire,2004,639,25620.0,24.94145199063232
New Jersey,2004,2927,171990.0,17.01843130414559
New Mexico,2004,368,32000.0,11.5
New York,2004,5812,283150.0,20.526222850079463
North Carolina,2004,1783,136430.0,13.068973099758118
North Dakota,2004,56,8460.0,6.619385342789598
Ohio,2004,2886,181180.0,15.928910475769952
Oklahoma,2004,451,46320.0,9.736614853195166
Oregon,2004,1726,64820.0,26.62758407898797
Pennsylvania,2004,2850,195510.0,14.577259475218659
Rhode Island,2004,297,19330.0,15.364718054837041
South Carolina,2004,521,50840.0,10.247836349331235
South Dakota,2004,81,9530.0,8.499475341028331
Tennessee,2004,695,65730.0,10.57355849688118
Texas,2004,5905,384600.0,15.353614144565782
Utah,2004,686,45250.0,15.160220994475138
Vermont,2004,404,12510.0,32.29416466826539
Virginia,2004,1088,233590.0,4.657733635857699
Washington,2004,2225,156780.0,14.191861206786578
West Virginia,2004,101,15990.0,6.316447779862415
Wisconsin,2004,1633,93760.0,17.416808873720136
Wyoming,2004,50,6960.0,7.183908045977011
Puerto Rico,2004,18,20600.0,0.8737864077669903
United States,2005,74313,5233520.0,14.199429829254498
Alabama,2005,320,62790.0,5.096352922439879
Alaska,2005,39,11230.0,3.472840605520926
Arizona,2005,1434,96410.0,14.873975728658854
Arkansas,2005,122,24660.0,4.947283049472831
California,2005,17896,716530.0,24.975925641633985
Colorado,2005,1849,126110.0,14.661803187693284
Connecticut,2005,1499,83930.0,17.860121529846303
Delaware,2005,330,18010.0,18.323153803442533
District of Columbia,2005,56,63410.0,0.8831414603374862
Florida,2005,2255,241000.0,9.356846473029044
Georgia,2005,1209,137580.0,8.78761447884867
Hawaii,2005,51,17460.0,2.9209621993127146
Idaho,2005,1522,23880.0,63.73534338358459
Illinois,2005,2724,221630.0,12.290754861706448
Indiana,2005,1108,79910.0,13.86559879864848
Iowa,2005,558,40300.0,13.846153846153847
Kansas,2005,376,51630.0,7.282587642843308
Kentucky,2005,343,44530.0,7.702672355715248
Louisiana,2005,273,41030.0,6.653668047769924
