State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-
United States,2003,101366433.0,4961540.0,20430.43752544573
Alabama,2003,3211827.0,56380.0,56967.48847108904
Alaska,2003,399401.0,10600.0,37679.339622641506
Arizona,2003,2385404.0,92120.0,25894.52887537994
Arkansas,2003,145361.0,21340.0,6811.668228678538
California,2003,20169641.0,676180.0,29828.804460350795
Colorado,2003,1735047.0,124140.0,13976.53455775737
Connecticut,2003,2067969.0,81380.0,25411.2681248464
Delaware,2003,95399.0,17370.0,5492.17040875072
District of Columbia,2003,2985543.0,54890.0,54391.38276553106
Florida,2003,2854088.0,221070.0,12910.33609264034
Georgia,2003,2133046.0,144170.0,14795.352708607894
Hawaii,2003,413945.0,16090.0,25726.848974518332
Idaho,2003,217820.0,22150.0,9833.860045146726
Illinois,2003,1934661.0,211230.0,9159.02570657577
Indiana,2003,573693.0,78410.0,7316.579517918633
Iowa,2003,499484.0,37320.0,13383.815648445874
Kansas,2003,268669.0,51970.0,5169.694054262075
Kentucky,2003,246664.0,45230.0,5453.5485297369005
Louisiana,2003,453420.0,41900.0,10821.479713603818
Maine,2003,166733.0,15020.0,11100.732356857523
Maryland,2003,8027300.0,149250.0,53784.25460636516
Massachusetts,2003,5491660.0,184690.0,29734.473983431693
Michigan,2003,1693104.0,182940.0,9254.96884224336
Minnesota,2003,866231.0,117120.0,7396.098019125683
Mississippi,2003,1181001.0,22190.0,53222.217214961696
Missouri,2003,1349450.0,84150.0,16036.244800950684
Montana,2003,131213.0,11450.0,11459.650655021835
Nebraska,2003,167955.0,30710.0,5469.065450993162
Nevada,2003,418931.0,22330.0,18760.90461262875
New Hampshire,2003,511948.0,23430.0,21850.106700810928
New Jersey,2003,2087600.0,161420.0,12932.722091438483
New Mexico,2003,3090089.0,33600.0,91966.93452380953
New York,2003,4382460.0,272440.0,16085.96388195566
North Carolina,2003,1617325.0,132440.0,12211.756266988825
North Dakota,2003,107257.0,8430.0,12723.250296559905
Ohio,2003,2967071.0,177100.0,16753.647656691137
Oklahoma,2003,570249.0,44360.0,12855.027051397656
Oregon,2003,514212.0,61230.0,8398.040176384126
Pennsylvania,2003,3989278.0,185560.0,21498.588057771074
Rhode Island,2003,565592.0,18740.0,30181.00320170758
South Carolina,2003,454018.0,48740.0,9315.100533442757
South Dakota,2003,54788.0,9150.0,5987.75956284153
Tennessee,2003,1130563.0,63680.0,17753.81595477387
Texas,2003,5414373.0,365270.0,14822.933720261724
Utah,2003,803382.0,45570.0,17629.624753127056
Vermont,2003,201149.0,11420.0,17613.74781085814
Virginia,2003,6709197.0,209280.0,32058.471903669728
Washington,2003,2442177.0,150230.0,16256.253744258804
West Virginia,2003,383400.0,16220.0,23637.484586929717
Wisconsin,2003,658448.0,93320.0,7055.80797256751
Wyoming,2003,42979.0,6130.0,7011.256117455138
Puerto Rico,2003,112225.0,19940.0,5628.1344032096285
United States,2004,109732927.0,5174260.0,21207.462902907857
Alabama,2004,3035516.0,59880.0,50693.31997327989
Alaska,2004,461308.0,10870.0,42438.63845446183
Arizona,2004,2643735.0,98400.0,26867.225609756097
Arkansas,2004,146682.0,24170.0,6068.762929251137
California,2004,19259424.0,703250.0,27386.31212228937
Colorado,2004,2068038.0,125510.0,16477.07752370329
Connecticut,2004,2122540.0,83840.0,25316.55534351145
Delaware,2004,89747.0,18420.0,4872.258414766558
District of Columbia,2004,3329397.0,61460.0,54171.77025707778
Florida,2004,3265014.0,235170.0,13883.633116468938
Georgia,2004,1906523.0,139230.0,13693.334769805357
Hawaii,2004,488209.0,17630.0,27691.94554736245
Idaho,2004,288538.0,23050.0,12517.917570498914
Illinois,2004,1880072.0,219040.0,8583.235938641345
Indiana,2004,556743.0,80950.0,6877.615812229771
Iowa,2004,538270.0,40060.0,13436.595107338992
Kansas,2004,287446.0,52650.0,5459.563152896486
Kentucky,2004,251763.0,43740.0,5755.898491083676
Louisiana,2004,446722.0,42520.0,10506.161806208842
Maine,2004,210258.0,14980.0,14035.914552736984
Maryland,2004,12608595.0,158350.0,79624.85001578782
Massachusetts,2004,5963595.0,190960.0,31229.55069124424
Michigan,2004,1117762.0,188580.0,5927.256336833175
Minnesota,2004,831259.0,118590.0,7009.52019563201
Mississippi,2004,1598715.0,22970.0,69600.13060513714
Missouri,2004,3058821.0,91820.0,33313.23241123938
Montana,2004,188774.0,11640.0,16217.697594501718
Nebraska,2004,210458.0,31760.0,6626.511335012594
Nevada,2004,554983.0,24440.0,22707.978723404256
New Hampshire,2004,422144.0,25620.0,16477.127244340358
New Jersey,2004,2273723.0,171990.0,13220.088377231235
New Mexico,2004,3363175.0,32000.0,105099.21875
New York,2004,4505321.0,283150.0,15911.42857142857
North Carolina,2004,1683581.0,136430.0,12340.25507586308
North Dakota,2004,108573.0,8460.0,12833.687943262412
Ohio,2004,2794181.0,181180.0,15422.127166353903
Oklahoma,2004,498478.0,46320.0,10761.614853195164
Oregon,2004,504810.0,64820.0,7787.874112928109
Pennsylvania,2004,3731084.0,195510.0,19083.85248836377
Rhode Island,2004,642064.0,19330.0,33215.93378168649
South Carolina,2004,384307.0,50840.0,7559.146341463415
South Dakota,2004,70036.0,9530.0,7349.00314795383
Tennessee,2004,1381987.0,65730.0,21025.209189106954
Texas,2004,5506721.0,384600.0,14318.047321892875
Utah,2004,1183694.0,45250.0,26158.983425414364
Vermont,2004,417091.0,12510.0,33340.607513988805
Virginia,2004,7298269.0,233590.0,31243.92739415215
Washington,2004,2311260.0,156780.0,14742.058936088786
West Virginia,2004,315693.0,15990.0,19743.151969981238
Wisconsin,2004,645875.0,93760.0,6888.598549488054
Wyoming,2004,47596.0,6960.0,6838.505747126437
Puerto Rico,2004,100904.0,20600.0,4898.252427184466
United States,2005,116585521.0,5233520.0,22276.693506473657
Alabama,2005,3108183.0,62790.0,49501.242236024846
Alaska,2005,495147.0,11230.0,44091.45146927872
Arizona,2005,2958775.0,96410.0,30689.503163572244
Arkansas,2005,164975.0,24660.0,6689.983779399838
California,2005,19964268.0,716530.0,27862.43144041422
Colorado,2005,2264933.0,126110.0,17959.979383078266
Connecticut,2005,2399563.0,83930.0,28590.0512331705
Delaware,2005,94151.0,18010.0,5227.7068295391455
District of Columbia,2005,4161778.0,63410.0,65632.83393786469
Florida,2005,2590033.0,241000.0,10747.02489626556
Georgia,2005,2181847.0,137580.0,15858.751271987208
Hawaii,2005,600260.0,17460.0,34379.15234822452
Idaho,2005,290256.0,23880.0,12154.773869346735
Illinois,2005,2127824.0,221630.0,9600.794116319992
Indiana,2005,566818.0,79910.0,7093.204855462395
Iowa,2005,487663.0,40300.0,12100.818858560795
Kansas,2005,357797.0,51630.0,6930.021305442572
Kentucky,2005,296308.0,44530.0,6654.120817426455
Louisiana,2005,443708.0,41030.0,10814.233487691932
Maine,2005,292125.0,15500.0,18846.774193548386
Maryland,2005,12500835.0,160120.0,78071.66500124906
Massachusetts,2005,6591926.0,193180.0,34123.23221865618
Michigan,2005,1177007.0,192150.0,6125.459276606818
Minnesota,2005,768269.0,120930.0,6353.005871165137
Mississippi,2005,438243.0,23480.0,18664.522998296423
Missouri,2005,4201656.0,92260.0,45541.46975937568
Montana,2005,182053.0,11940.0,15247.319932998325
Nebraska,2005,193069.0,31530.0,6123.342848081193
Nevada,2005,593264.0,24400.0,24314.09836065574
New Hampshire,2005,513830.0,26840.0,19144.187779433683
New Jersey,2005,2524843.0,174270.0,14488.110403397026
New Mexico,2005,3593366.0,32530.0,110463.14171533969
New York,2005,5320079.0,289010.0,18407.940901698905
North Carolina,2005,1806115.0,134290.0,13449.363318191972
North Dakota,2005,117921.0,9070.0,13001.212789415655
Ohio,2005,2961450.0,180900.0,16370.646766169155
Oklahoma,2005,400746.0,46370.0,8642.354970886348
Oregon,2005,650069.0,62030.0,10479.912945349024
Pennsylvania,2005,3677377.0,204270.0,18002.5309639203
Rhode Island,2005,888779.0,18080.0,49158.13053097345
South Carolina,2005,492735.0,50460.0,9764.863258026158
South Dakota,2005,69982.0,9460.0,7397.674418604651
Tennessee,2005,1425989.0,66390.0,21478.972736857962
Texas,2005,5187008.0,389550.0,13315.38441791811
Utah,2005,1058179.0,45110.0,23457.747727776547
Vermont,2005,262601.0,12770.0,20563.89976507439
Virginia,2005,8746472.0,236650.0,36959.52672723431
Washington,2005,2641154.0,160960.0,16408.759940357853
West Virginia,2005,807540.0,16040.0,50345.386533665835
Wisconsin,2005,651821.0,93590.0,6964.643658510525
Wyoming,2005,37538.0,7350.0,5107.210884353742
Puerto Rico,2005,101433.0,20950.0,4841.670644391408
United States,2006,119302170.0,5407710.0,22061.495531380195
Alabama,2006,2198241.0,66100.0,33256.293494704994
Alaska,2006,212144.0,10720.0,19789.552238805973
Arizona,2006,2459645.0,98110.0,25070.27825909693
Arkansas,2006,161824.0,24860.0,6509.412711182622
California,2006,26897630.0,,
Colorado,2006,2188732.0,133730.0,16366.798773648394
Connecticut,2006,1946644.0,79380.0,24523.10405643739
Delaware,2006,112658.0,21550.0,5227.749419953597
District of Columbia,2006,4193242.0,64120.0,65396.787273861504
Florida,2006,3346486.0,246190.0,13593.102888013324
Georgia,2006,1750782.0,136470.0,12829.061332160914
Hawaii,2006,380297.0,18940.0,20079.039070749735
Idaho,2006,300045.0,,
Illinois,2006,2003465.0,222470.0,9005.551310289027
Indiana,2006,583214.0,80110.0,7280.164773436525
Iowa,2006,548687.0,43670.0,12564.392031142661
Kansas,2006,294492.0,48620.0,6057.013574660633
Kentucky,2006,240041.0,44680.0,5372.448522829006
Louisiana,2006,322644.0,40180.0,8029.965156794426
Maine,2006,229196.0,15950.0,14369.655172413793
Maryland,2006,12746621.0,159470.0,79931.1531949583
Massachusetts,2006,6875787.0,198670.0,34609.0854180299
Michigan,2006,1700258.0,208520.0,8153.932476501055
Minnesota,2006,1241556.0,125930.0,9859.096323354244
Mississippi,2006,554898.0,24910.0,22276.114010437574
Missouri,2006,1315557.0,96420.0,13644.026135656502
Montana,2006,151336.0,13010.0,11632.28285933897
Nebraska,2006,178121.0,32500.0,5480.6461538461535
Nevada,2006,436217.0,26930.0,16198.180467879687
New Hampshire,2006,400408.0,27680.0,14465.606936416185
New Jersey,2006,2172700.0,176460.0,12312.705428992405
New Mexico,2006,3315034.0,30800.0,107630.97402597402
New York,2006,5368152.0,306810.0,17496.665688862817
North Carolina,2006,1771359.0,138790.0,12762.871964838965
North Dakota,2006,117851.0,9360.0,12590.918803418805
Ohio,2006,2723931.0,185190.0,14708.84497003078
Oklahoma,2006,271137.0,50770.0,5340.4963561158165
Oregon,2006,510101.0,64520.0,7906.091134531928
Pennsylvania,2006,3299694.0,214910.0,15353.841142803965
Rhode Island,2006,622502.0,18060.0,34468.54928017718
South Carolina,2006,373812.0,53230.0,7022.58125117415
South Dakota,2006,75926.0,10120.0,7502.569169960474
Tennessee,2006,1489072.0,67040.0,22211.694510739857
Texas,2006,5914690.0,408710.0,14471.60578405226
Utah,2006,845844.0,49690.0,17022.418997786273
Vermont,2006,105544.0,12780.0,8258.528951486698
Virginia,2006,8994337.0,251720.0,35731.51517559193
Washington,2006,4087134.0,171780.0,23792.83967865875
West Virginia,2006,301416.0,17150.0,17575.27696793003
Wisconsin,2006,635675.0,96860.0,6562.822630600867
Wyoming,2006,36169.0,7640.0,4734.162303664922
Puerto Rico,2006,98790.0,23850.0,4142.138364779874
United States,2007,124900312.0,5591990.0,22335.5749920869
Alabama,2007,2247589.0,69650.0,32269.763101220386
Alaska,2007,263999.0,11990.0,22018.265221017515
Arizona,2007,2422351.0,102380.0,23660.392654815394
Arkansas,2007,177694.0,28460.0,6243.640196767393
California,2007,26987180.0,753570.0,35812.439454861524
Colorado,2007,2797532.0,138990.0,20127.577523562846
Connecticut,2007,2116827.0,80280.0,26368.04932735426
Delaware,2007,130615.0,22140.0,5899.503161698283
District of Columbia,2007,4277707.0,63150.0,67738.8281868567
Florida,2007,4078193.0,244140.0,16704.321291062504
Georgia,2007,1686209.0,136880.0,12318.885154880187
Hawaii,2007,379219.0,18740.0,20235.80576307364
Idaho,2007,287474.0,24330.0,11815.61857788738
Illinois,2007,2145050.0,225180.0,9525.93480770939
Indiana,2007,596645.0,83080.0,7181.571978815599
Iowa,2007,662401.0,45430.0,14580.695575610831
Kansas,2007,317801.0,50040.0,6350.939248601118
Kentucky,2007,222172.0,49030.0,4531.348154191312
Louisiana,2007,419401.0,38450.0,10907.698309492847
Maine,2007,378810.0,15960.0,23734.962406015035
Maryland,2007,11905814.0,162540.0,73248.51728805217
Massachusetts,2007,7528907.0,205610.0,36617.41646807062
Michigan,2007,1726084.0,212040.0,8140.3697415581955
Minnesota,2007,1386789.0,129840.0,10680.753234750462
Mississippi,2007,433902.0,25520.0,17002.42946708464
Missouri,2007,1220627.0,102170.0,11947.019673093862
Montana,2007,653627.0,13240.0,49367.59818731118
Nebraska,2007,230075.0,31420.0,7322.565245066836
Nevada,2007,321050.0,26920.0,11926.077265973254
New Hampshire,2007,339923.0,28450.0,11948.084358523725
New Jersey,2007,2191960.0,186120.0,11777.13303245218
New Mexico,2007,3478018.0,33440.0,104007.71531100478
New York,2007,5367562.0,322520.0,16642.57100334863
North Carolina,2007,1828443.0,142970.0,12788.997691823459
North Dakota,2007,115779.0,9660.0,11985.403726708075
Ohio,2007,3660876.0,196390.0,18640.84729365039
Oklahoma,2007,253227.0,51430.0,4923.721563289909
Oregon,2007,506417.0,67890.0,7459.375460303432
Pennsylvania,2007,3359930.0,218890.0,15349.856092101054
Rhode Island,2007,627776.0,18400.0,34118.260869565216
South Carolina,2007,421688.0,54120.0,7791.7220990391725
South Dakota,2007,61925.0,11550.0,5361.471861471861
Tennessee,2007,1907931.0,70820.0,26940.567636260945
Texas,2007,6692848.0,441410.0,15162.429487324709
Utah,2007,991251.0,51340.0,19307.576938059992
Vermont,2007,108366.0,12760.0,8492.633228840125
Virginia,2007,9088208.0,254710.0,35680.6093204036
Washington,2007,4751106.0,183900.0,25835.2691680261
West Virginia,2007,219100.0,16560.0,13230.676328502415
Wisconsin,2007,671413.0,99380.0,6756.017307305293
Wyoming,2007,36583.0,8110.0,4510.850801479654
Puerto Rico,2007,85850.0,23630.0,3633.093525179856
United States,2008,125091757.0,5781460.0,21636.707163934367
Alabama,2008,2782192.8,68580.0,40568.573928258964
Alaska,2008,222163.3,13260.0,16754.396681749622
Arizona,2008,2449175.7,102100.0,23988.00881488737
Arkansas,2008,145264.6,29310.0,4956.144660525419
California,2008,19938653.1,791750.0,25183.016229870544
Colorado,2008,2668121.2,147000.0,18150.484353741496
Connecticut,2008,1815401.1,80290.0,22610.550504421473
Delaware,2008,144313.8,22330.0,6462.776533811016
District of Columbia,2008,17537243.7,63360.0,276787.3058712121
Florida,2008,2290401.4,248200.0,9228.047542304592
Georgia,2008,1386020.6,147380.0,9404.40086850319
Hawaii,2008,347753.2,18830.0,18468.040361125863
Idaho,2008,355408.2,23310.0,15247.027027027027
Illinois,2008,2168529.6,224370.0,9664.97125284129
Indiana,2008,672028.7,90840.0,7397.938132981065
Iowa,2008,634853.3,46180.0,13747.364660025987
Kansas,2008,300405.6,54260.0,5536.409878363435
Kentucky,2008,252464.3,,
Louisiana,2008,406130.5,41790.0,9718.365637712372
Maine,2008,168008.8,17000.0,9882.870588235293
Maryland,2008,13312685.3,167070.0,79683.27826659485
Massachusetts,2008,6883096.4,217310.0,31674.089549491513
Michigan,2008,1866491.4,204290.0,9136.479514415782
Minnesota,2008,1393036.7,134440.0,10361.772537935138
Mississippi,2008,435207.0,27270.0,15959.185918591858
Missouri,2008,1111284.6,105390.0,10544.4975804156
Montana,2008,159461.0,,
Nebraska,2008,204579.1,31820.0,6429.261470773099
Nevada,2008,312624.4,27300.0,11451.443223443224
New Hampshire,2008,294312.1,29150.0,10096.46998284734
New Jersey,2008,2192726.3,198060.0,11071.020397859234
New Mexico,2008,3502888.0,34560.0,101356.71296296296
New York,2008,4651186.5,326510.0,14245.15788184129
North Carolina,2008,1772566.5,153680.0,11534.13912024987
North Dakota,2008,98325.6,9450.0,10404.825396825398
Ohio,2008,2580353.0,206320.0,12506.557774331137
Oklahoma,2008,260753.1,48900.0,5332.374233128834
Oregon,2008,581073.5,70070.0,8292.757242757243
Pennsylvania,2008,3279378.2,227170.0,14435.789056653608
Rhode Island,2008,643721.3,18090.0,35584.372581536765
South Carolina,2008,453003.0,57770.0,7841.492123939761
South Dakota,2008,76379.4,11870.0,6434.658803706823
Tennessee,2008,1689924.8,72760.0,23226.014293567896
Texas,2008,5029587.8,463850.0,10843.134202867306
Utah,2008,699928.5,52570.0,13314.219136389576
Vermont,2008,120984.7,12360.0,9788.406148867314
Virginia,2008,9282197.3,259280.0,35799.89702252392
Washington,2008,4339544.3,,
West Virginia,2008,224575.3,17000.0,13210.311764705883
Wisconsin,2008,660914.6,101680.0,6499.946892210857
Wyoming,2008,47357.5,8850.0,5351.129943502825
Puerto Rico,2008,84929.4,22970.0,3697.405311275577
United States,2009,138975460.8,5785710.0,24020.467807753936
Alabama,2009,3023300.9,68670.0,44026.51667394787
Alaska,2009,247310.0,14780.0,16732.74695534506
Arizona,2009,3141545.2,102820.0,30553.83388445828
Arkansas,2009,171160.4,31420.0,5447.498408656906
California,2009,26988821.2,795240.0,33937.95734620995
Colorado,2009,3862299.3,148090.0,26080.75697211155
Connecticut,2009,2364525.5,79160.0,29870.205912076806
Delaware,2009,225170.3,22200.0,10142.806306306305
District of Columbia,2009,4265482.9,61430.0,69436.47891909491
Florida,2009,3734399.5,247070.0,15114.74278544542
Georgia,2009,1957569.7,,
Hawaii,2009,387488.1,19020.0,20372.665615141956
Idaho,2009,387977.6,23520.0,16495.6462585034
Illinois,2009,2745521.3,221170.0,12413.624361350996
Indiana,2009,1109217.5,90750.0,12222.782369146005
Iowa,2009,683221.6,47080.0,14511.928632115547
Kansas,2009,464230.1,56200.0,8260.32206405694
Kentucky,2009,319129.0,51200.0,6232.98828125
Louisiana,2009,405552.5,43630.0,9295.267018106808
Maine,2009,194231.0,17910.0,10844.835287548856
Maryland,2009,15970508.4,169540.0,94199.05862923204
Massachusetts,2009,9047013.4,217690.0,41559.15935504617
Michigan,2009,2427422.1,187760.0,12928.323924158502
Minnesota,2009,1550573.4,134060.0,11566.26435924213
Mississippi,2009,384646.5,25940.0,14828.31534309946
Missouri,2009,1284600.4,104310.0,12315.218099894544
Montana,2009,171493.7,14210.0,12068.522167487685
Nebraska,2009,220220.6,31790.0,6927.354513998112
Nevada,2009,558210.3,27560.0,20254.365021770685
New Hampshire,2009,458369.4,30550.0,15003.908346972177
New Jersey,2009,2492168.0,195690.0,12735.28540037815
New Mexico,2009,3695552.8,36950.0,100014.96075778079
New York,2009,6242013.3,315480.0,19785.765500190188
North Carolina,2009,2021756.8,158920.0,12721.852504404731
North Dakota,2009,101154.9,9930.0,10186.79758308157
Ohio,2009,4459527.0,207930.0,21447.25147886308
Oklahoma,2009,369962.0,45730.0,8090.137765143233
Oregon,2009,635230.0,69630.0,9122.935516300446
Pennsylvania,2009,4297551.9,,
Rhode Island,2009,679452.7,18120.0,37497.389624724055
South Carolina,2009,661613.7,57370.0,11532.398466097262
South Dakota,2009,79312.6,11570.0,6855.021607605878
Tennessee,2009,2081441.6,68970.0,30178.941568798033
Texas,2009,6031095.4,470010.0,12831.844854364801
Utah,2009,1168540.2,51270.0,22791.889994148623
